Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilites,Approx Liabilities
1,Suman Kanjilal,ALIPURDUA,BJP,12,7,4072333,~ 40 Lacs+,0,~
2,Rafiqur Rahaman,AMDANGA,AITC,1,6,11536882,~ 1 Crore+,822000,~ 8 Lacs+
3,Sukanta Kumar Paul,AMTA,AITC,0,8,1939357,~ 19 Lacs+,0,~
4,Madhusudan Bag,ARAMBAG (SC),BJP,1,8,4951884,~ 49 Lacs+,2043796,~ 20 Lacs+
5,Agnimitra Paul,ASANSOL DAKSHIN,BJP,2,6,23964257,~ 2 Crore+,11971270,~ 1 Crore+
6,Moloy Ghatak,ASANSOL UTTAR,AITC,0,7,32230354,~ 3 Crore+,8539714,~ 85 Lacs+
7,Narayan Goswami,ASHOKNAGAR,AITC,3,6,16027069,~ 1 Crore+,2022964,~ 20 Lacs+
8,Abhedananda Thander,AUSGRAM (SC),AITC,0,3,5955039,~ 59 Lacs+,0,~
9,Abdur Rahim Quazi,BADURIA,AITC,1,8,4370976,~ 43 Lacs+,0,~
10,Biswajit Das,BAGDA (SC),BJP,6,3,4935094,~ 49 Lacs+,987172,~ 9 Lacs+
11,Sushanta Mahato,BAGHMUNDI,AITC,0,8,1365410,~ 13 Lacs+,402634,~ 4 Lacs+
12,Arunava Sen (Raja),BAGNAN,AITC,1,4,6696240,~ 66 Lacs+,0,~
13,Subrata Maitra (Kanchan),BAHARAMPUR,BJP,6,6,5050179,~ 50 Lacs+,0,~
14,Chandana Sarkar,BAISNABNAGAR,AITC,0,6,13259970,~ 1 Crore+,2276970,~ 22 Lacs+
15,Manoranjan Bapari,BALAGARH (SC),AITC,2,Illiterate,1489175,~ 14 Lacs+,0,~
16,Baneswar Mahato,BALARAMPUR,BJP,3,4,3030000,~ 30 Lacs+,0,~
17,Rana Chatterjee,BALLY,AITC,0,7,20016231,~ 2 Crore+,10481458,~ 1 Crore+
18,Subrata Mukherjee,BALLYGUNGE,AITC,2,8,15076361,~ 1 Crore+,0,~
19,Ashok Kumar Lahiri,BALURGHAT,BJP,0,10,74309351,~ 7 Crore+,0,~
20,Rajib Lochan Saren,BANDWAN (ST),AITC,0,7,8793233,~ 87 Lacs+,2034628,~ 20 Lacs+
21,Swapan Majumder,BANGAON DAKSHIN (SC),BJP,2,2,21160258,~ 2 Crore+,6184828,~ 61 Lacs+
22,Ashok Kirtania,BANGAON UTTAR (SC),BJP,0,6,25319117,~ 2 Crore+,3734208,~ 37 Lacs+
23,Niladri Sekhar Dana,BANKURA,BJP,0,4,19001000,~ 1 Crore+,0,~
24,Bidhan Upadhyay,BARABANI,AITC,1,4,47953001,~ 4 Crore+,17816106,~ 1 Crore+
25,Tapas Roy,BARANAGAR,AITC,0,7,30515144,~ 3 Crore+,2879321,~ 28 Lacs+
26,Chiranjeet Chakrabarti,BARASAT,AITC,0,4,58020135,~ 5 Crore+,857385,~ 8 Lacs+
27,Khokan Das,BARDHAMAN DAKSHIN,AITC,9,3,26761876,~ 2 Crore+,555107,~ 5 Lacs+
28,Nisith Kumar Malik,BARDHAMAN UTTAR (SC),AITC,4,3,2636922,~ 26 Lacs+,744838,~ 7 Lacs+
29,Alok Mukherjee,BARJORA,AITC,0,3,1992033,~ 19 Lacs+,0,~
30,Raju Chakraborty (Raj),BARRACKPUR,AITC,0,4,133002383,~ 13 Crore+,21675488,~ 2 Crore+
31,Biman Banerjee,BARUIPUR PASCHIM,AITC,0,8,23862266,~ 2 Crore+,0,~
32,Bivas Sardar (Vobo),BARUIPUR PURBA (SC),AITC,1,4,7692159,~ 76 Lacs+,2438000,~ 24 Lacs+
33,Shyamal Mondal,BASANTI (SC),AITC,0,6,7057592,~ 70 Lacs+,370230,~ 3 Lacs+
34,Dr. Saptahi Banerjee,BASIRHAT DAKSHIN,AITC,0,8,67180280,~ 6 Crore+,1033081,~ 10 Lacs+
35,Rafikul Islam Mondal,BASIRHAT UTTAR,AITC,2,8,12192432,~ 1 Crore+,0,~
36,Partha Chatterjee,BEHALA PASCHIM,AITC,0,10,11594863,~ 1 Crore+,0,~
37,Ratna Chatterjee,BEHALA PURBA,AITC,5,6,128138795,~ 12 Crore+,66630530,~ 6 Crore+
38,Hasanuzzaman Sk,BELDANGA,AITC,4,4,24388017,~ 2 Crore+,849972,~ 8 Lacs+
39,Paresh Paul,BELEGHATA,AITC,3,6,43103515,~ 4 Crore+,0,~
40,Sobhandeb Chattopadhyay,BHABANIPUR,AITC,0,7,22558885,~ 2 Crore+,0,~
41,Rabindra Nath Maity,BHAGABANPUR,BJP,1,4,7375000,~ 73 Lacs+,2500000,~ 25 Lacs+
42,Idris Ali,BHAGAWANGOLA,AITC,4,7,21281930,~ 2 Crore+,0,~
43,Md. Nawsad Siddique,BHANGAR,Rashtriya Secular Majlis Party,0,8,2212970,~ 22 Lacs+,0,~
