Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
146,NANI GOPAL ROY,Kaliaganj,CPM,0,5,Rs 412051,~ 4 Lacs+,Rs 0,~
179,SHANTA CHHETRI,Kurseong,GNLF,0,8,Rs 917325,~ 9 Lacs+,Rs 11132,~ 11 Thou+
180,NABANITA MUKHERJEE,Labhpur,CPM,0,4,Rs 64000,~ 64 Thou+,Rs 0,~
181,ABU HENA,Lalgola,INC,0,8,Rs 2439264,~ 24 Lacs+,Rs 9602,~ 9 Thou+
182,KUMARI KUJUR,Madarihat,RSP,0,3,Rs 664868,~ 6 Lacs+,Rs 77942,~ 77 Thou+
183,BANSARI MOHAN KANJI,Magrahat East,CPM,0,6,Rs 497963,~ 4 Lacs+,Rs 0,~
184,DR.ABUL HASNAT,Magrahat West,CPM,0,8,Rs 3460758,~ 34 Lacs+,Rs 0,~
186,MURSALIN MOLLA,Maheshtala,CPM,0,8,Rs 2070700,~ 20 Lacs+,Rs 0,~
187,TAMALIKA PANDA SETH,Mahishadal,CPM,0,6,Rs 952456,~ 9 Lacs+,Rs 0,~
188,BACHCHAMOHAN ROY,Mainaguri,RSP,0,8,Rs 287030,~ 2 Lacs+,Rs 108049,~ 1 Lacs+
189,SOMRA LAKRA,Mal,CPM,0,4,Rs 97000,~ 97 Thou+,Rs 100000,~ 1 Lacs+
190,SUBHENDU CHOWDHURY,Malda,CPM,0,7,Rs 7957515,~ 79 Lacs+,Rs 0,~
191,SAMYA PYARI MAHATO,Manbazar,CPM,0,4,Rs 967989,~ 9 Lacs+,Rs 0,~
192,DR. TAPATI SAHA,Mandirbazar,CPM,0,7,Rs 2427301,~ 24 Lacs+,Rs 355873,~ 3 Lacs+
193,SADHANA MALLIK,Mangalkot,CPM,0,3,Rs 411619,~ 4 Lacs+,Rs 0,~
194,RUPA BAGCHI,Manicktola,CPM,0,8,Rs 62201,~ 62 Thou+,Rs 0,~
195,ASIMA CHAUDHURI,Manikchak,CPM,0,7,Rs 3937735,~ 39 Lacs+,Rs 0,~
