1,Aparna Saha,BARDHAMAN UTTAR (SC),CPM,0,10th Pass,Rs 1944528,~ 19 Lacs+,Rs 0,~
2,Asima Patra,DHANEKHALI (SC),AITC,3,Graduate,Rs 57000,~ 57 Thou+,Rs 0,~
3,Banasri Maity,KANTHI UTTAR,AITC,0,Graduate,Rs 2570194,~ 25 Lacs+,Rs 84750,~ 84 Thou+
4,Bina Mondal,SWARUPNAGAR,AITC,0,Graduate,Rs 1386810,~ 13 Lacs+,Rs 0,~
5,Chandrima Bhattacharya,DUM DUM UTTAR,AITC,1,Graduate Professional,Rs 986250,~ 9 Lacs+,Rs 527000,~ 5 Lacs+
6,Chhaya Dolai,CHANDRAKONA (SC),CPM,2,10th Pass,Rs 296855,~ 2 Lacs+,Rs 0,~
7,Debasree Roy,RAIDIGHI,AITC,0,12th Pass,Rs 6781971,~ 67 Lacs+,Rs 1355804,~ 13 Lacs+
8,Deblina Hembram,RANIBUNDH (ST),CPM,0,10th Pass,Rs 1716452,~ 17 Lacs+,Rs 303884,~ 3 Lacs+
9,Dipali Saha,SONAMUKHI (SC),AITC,2,10th Pass,Rs 2713195,~ 27 Lacs+,Rs 520813,~ 5 Lacs+
10,Firdousi Begum,SONARPUR UTTAR,AITC,0,12th Pass,Rs 7118800,~ 71 Lacs+,Rs 59895,~ 59 Thou+
11,Firoza Begam,RANINAGAR,INC,0,Post Graduate,Rs 4359808,~ 43 Lacs+,Rs 729961,~ 7 Lacs+
12,Jahanara Khan,JAMURIA,CPM,0,Graduate,Rs 271855,~ 2 Lacs+,Rs 0,~
13,Kasturi Das,MAHESHTALA,AITC,0,8th Pass,Rs 71855504,~ 7 Crore+,Rs 5031231,~ 50 Lacs+
14,Kumari Kujur,MADARIHAT (ST),RSP,0,10th Pass,Rs 737223,~ 7 Lacs+,Rs 143000,~ 1 Lacs+
15,Mala Saha,KASHIPUR-BELGACHIA,AITC,0,Post Graduate,Rs 3316789,~ 33 Lacs+,Rs 470000,~ 4 Lacs+
16,Mamata Roy,DHUPGURI (SC),CPM,0,10th Pass,Rs 936156,~ 9 Lacs+,Rs 0,~
17,Mamtaj Begam,METIABRUZ,AITC,3,8th Pass,Rs 357733,~ 3 Lacs+,Rs 0,~
18,Manju Basu,NOAPARA,AITC,0,Graduate Professional,Rs 1898000,~ 18 Lacs+,Rs 0,~
19,Namita Saha,MAGRAHAT PURBA (SC),AITC,0,Graduate Professional,Rs 206589,~ 2 Lacs+,Rs 0,~
20,Nilima Nag (mallick),HARINGHATA (SC),AITC,0,10th Pass,Rs 3100000,~ 31 Lacs+,Rs 0,~
21,Phiroja Bibi,NANDIGRAM,AITC,0,8th Pass,Rs 725065,~ 7 Lacs+,Rs 0,~
22,Protima Rajak,BURWAN (SC),INC,0,Graduate,Rs 263339,~ 2 Lacs+,Rs 1038,~ 1 Thou+
23,Sabina Yeasmin,MOTHABARI,INC,0,Post Graduate,Rs 3041687,~ 30 Lacs+,Rs 0,~
24,Sabitri Mitra,MANICKCHAK,AITC,0,10th Pass,Rs 1220213,~ 12 Lacs+,Rs 6391,~ 6 Thou+
25,Sandhyarani Tudu,MANBAZAR (ST),AITC,0,10th Pass,Rs 3272588,~ 32 Lacs+,Rs 864538,~ 8 Lacs+
26,Seuli Saha,HALDIA (SC),AITC,0,Graduate Professional,Rs 7418849,~ 74 Lacs+,Rs 550000,~ 5 Lacs+
27,Shaoni Singha Roy,MURSHIDABAD,INC,1,Graduate,Rs 781770,~ 7 Lacs+,Rs 0,~
28,Shashi Panja,SHYAMPUKUR,AITC,0,Graduate Professional,Rs 37359910,~ 3 Crore+,Rs 0,~
29,Sikha Chowdhury,CHOWRANGEE,AITC,0,Graduate,Rs 21635563,~ 2 Crore+,Rs 1287500,~ 12 Lacs+
30,Smita Bakshi,JORASANKO,AITC,1,Graduate,Rs 11989316,~ 1 Crore+,Rs 1201070,~ 12 Lacs+
31,Sonali Guha (bose),SATGACHIA,AITC,2,Graduate,Rs 2824199,~ 28 Lacs+,Rs 0,~
32,Swati Khandkar,CHANDITALA,AITC,0,12th Pass,Rs 1948389,~ 19 Lacs+,Rs 0,~
33,Usha Rani Mondal,MINAKHAN (SC),AITC,0,8th Pass,Rs 1885448,~ 18 Lacs+,Rs 0,~
