1,Hamidul Rahaman,CHOPRA,IND,4,TenthPass,Rs 2060000,~ 20 Lacs+,Rs 50000,~ 50 Thou+
2,Akshay Thakur,COOCHBEHAR DAKSHIN,AIFB,1,TwelfthPass,Rs 4876944,~ 48 Lacs+,Rs 0,~
3,Nagendra Nath Roy,COOCHBEHAR UTTAR (SC),AIFB,0,PostGraduate,Rs 1514626,~ 15 Lacs+,Rs 0,~
4,Udayan Guha,DINHATA,AIFB,3,Graduate,Rs 14242375,~ 1 Crore+,Rs 276860,~ 2 Lacs+
5,Bulu Chik Baraik,MAL (ST),CPM,0,EighthPass,Rs 119867,~ 1 Lacs+,Rs 0,~
6,Binay Krishna Barman,MATHABHANGA (SC),AITC,0,GraduateProfessional,Rs 5335000,~ 53 Lacs+,Rs 172000,~ 1 Lacs+
7,Keshab Chandra Ray,SITAI (SC),INC,1,GraduateProfessional,Rs 1503049,~ 15 Lacs+,Rs 0,~
8,Hiten Barman,SITALKUCHI (SC,AITC,0,TwelfthPass,Rs 2540000,~ 25 Lacs+,Rs 0,~
9,Deba Prasad Roy,ALIPURDUARS,INC,1,Graduate,Rs 1255667,~ 12 Lacs+,Rs 3001464,~ 30 Lacs+
10,Rafiqur Rahaman,AMDANGA,AITC,2,Graduate,Rs 3739443,~ 37 Lacs+,Rs 0,~
11,Asit Mitra,AMTA,INC,1,Graduate,Rs 389725,~ 3 Lacs+,Rs 17102,~ 17 Thou+
12,Krishna Chandra Santra,ARAMBAG (SC),AITC,0,Graduate,Rs 821500,~ 8 Lacs+,Rs 0,~
13,Tapas Banerjee,ASANSOL DAKSHIN,AITC,5,GraduateProfessional,Rs 1921032,~ 19 Lacs+,Rs 0,~
14,Moloy Ghatak,ASANSOL UTTAR,AITC,6,GraduateProfessional,Rs 6164295,~ 61 Lacs+,Rs 1478314,~ 14 Lacs+
15,Dhiman Roy,ASHOKNAGAR,AITC,1,Graduate,Rs 1588945,~ 15 Lacs+,Rs 0,~
16,Sri Basudev Mete,AUSGRAM (SC),CPM,0,TenthPass,Rs 170979,~ 1 Lacs+,Rs 9000,~ 9 Thou+
17,Abdul Gaffar Quazi,BADURIA,INC,1,TenthPass,Rs 8562105,~ 85 Lacs+,Rs 0,~
18,Upendra Nath Biswas,BAGDA,AITC,0,Doctorate,Rs 5418371,~ 54 Lacs+,Rs 100000,~ 1 Lacs+
19,Nepal Mahato,BAGHMUNDI,INC,22,Graduate,Rs 1837675,~ 18 Lacs+,Rs 822334,~ 8 Lacs+
20,Arunava Sen (raja),BAGNAN,AITC,5,TwelfthPass,Rs 1504753,~ 15 Lacs+,Rs 0,~
21,Manoj Chakraborty,BAHARAMPUR,INC,4,Graduate,Rs 1367028,~ 13 Lacs+,Rs 68506,~ 68 Thou+
22,Isha Khan Choudhury,BAISHNABNAGAR,INC,0,Graduate,Rs 883882,~ 8 Lacs+,Rs 0,~
23,Asim Kumar Majhi,BALAGARH (SC),AITC,0,Graduate,Rs 530057,~ 5 Lacs+,Rs 110000,~ 1 Lacs+
24,Shantiram Mahato,BALARAMPUR,AITC,11,TenthPass,Rs 2123224,~ 21 Lacs+,Rs 12341,~ 12 Thou+
25,Sultan Singh,BALLY,AITC,0,PostGraduate,Rs 26392300,~ 2 Crore+,Rs 3200000,~ 32 Lacs+
26,Subrata Mukherjee,BALLYGUNGE,AITC,2,PostGraduate,Rs 5543848,~ 55 Lacs+,Rs 0,~
27,Shankar Chakraborty,BALURGHAT,AITC,0,PostGraduate,Rs 7808975,~ 78 Lacs+,Rs 0,~
28,Susanta Besra,BANDWAN (ST),CPM,0,PostGraduate,Rs 1078748,~ 10 Lacs+,Rs 0,~
29,Surajit Kumar Biswas,BANGAON DAKSHIN,AITC,0,Graduate,Rs 9292488,~ 92 Lacs+,Rs 280000,~ 2 Lacs+
30,Biswajit Das,BANGAON UTTAR,AITC,4,EighthPass,Rs 807369,~ 8 Lacs+,Rs 13147,~ 13 Thou+
31,Kashinath Mishra,BANKURA,AITC,0,PostGraduate,Rs 3745710,~ 37 Lacs+,Rs 0,~
32,Tapas Roy,BARANAGAR,AITC,0,GraduateProfessional,Rs 10307660,~ 1 Crore+,Rs 2709002,~ 27 Lacs+
33,Chiranjeet Chakrabarti,BARASAT,AITC,0,TwelfthPass,Rs 19429326,~ 1 Crore+,Rs 1005852,~ 10 Lacs+
34,Bidhan Upadhyay,BARBANI,AITC,1,TwelfthPass,Rs 4218606,~ 42 Lacs+,Rs 1609566,~ 16 Lacs+
35,Rabiranjan Chattopadhyay,BARDHAMAN DAKSHIN,AITC,0,Doctorate,Rs 4309394,~ 43 Lacs+,Rs 398070,~ 3 Lacs+
36,Aparna Saha,BARDHAMAN UTTAR (SC),CPM,0,TenthPass,Rs 1944528,~ 19 Lacs+,Rs 0,~
37,Asutosh Mukherjee,BARJORA,AITC,0,Graduate,Rs 1106862,~ 11 Lacs+,Rs 0,~
38,Silbhadra Datta,BARRACKPUR,AITC,1,PostGraduate,Rs 1521928,~ 15 Lacs+,Rs 0,~
39,Biman Banerjee,BARUIPUR PASCHIM,AITC,0,PostGraduate,Rs 10071620,~ 1 Crore+,Rs 0,~
40,Nirmal Chandra Mandal,BARUIPUR PURBA (SC),AITC,0,Graduate,Rs 1989054,~ 19 Lacs+,Rs 0,~
41,Subhas Naskar,BASANTI (SC),RSP,0,Graduate,Rs 1804001,~ 18 Lacs+,Rs 0,~
42,Narayan Mukherjee,BASIRHAT DAKSHIN,CPM,0,PostGraduate,Rs 1522573,~ 15 Lacs+,Rs 40000,~ 40 Thou+
43,Mostafa Bin Quasem,BASIRHAT UTTAR,CPM,0,PostGraduate,Rs 4016707,~ 40 Lacs+,Rs 0,~
44,Partha Chatterjee,BEHALA PASCHIM,AITC,0,PostGraduate,Rs 6907821,~ 69 Lacs+,Rs 270000,~ 2 Lacs+
45,Sovan Chatterjee,BEHALA PURBA,AITC,0,GraduateProfessional,Rs 47928110,~ 4 Crore+,Rs 900871,~ 9 Lacs+
46,Seikh Safiujjaman,BELDANGA,INC,1,TwelfthPass,Rs 3717000,~ 37 Lacs+,Rs 0,~
47,Paresh Paul,BELEGHATA,AITC,2,Graduate,Rs 3870413,~ 38 Lacs+,Rs 0,~
48,Subrata Bakshi,BHABANIPUR,AITC,0,GraduateProfessional,Rs 6921371,~ 69 Lacs+,Rs 33363,~ 33 Thou+
49,Ardhendu Maity,BHAGABANPUR,AITC,0,GraduateProfessional,Rs 1907897,~ 19 Lacs+,Rs 0,~
50,Badal Jamadar,BHANGORE,CPM,1,PostGraduate,Rs 988749,~ 9 Lacs+,Rs 0,~
51,Saikh Id Mohammad,BHARATPUR,RSP,0,Graduate,Rs 1745038,~ 17 Lacs+,Rs 27460,~ 27 Thou+
52,Banamali Hazra,BHATAR,AITC,2,Graduate,Rs 2195526,~ 21 Lacs+,Rs 123425,~ 1 Lacs+
53,Arjun Singh,BHATPARA,AITC,14,TwelfthPass,Rs 3647795,~ 36 Lacs+,Rs 1733059,~ 17 Lacs+
54,Sujit Bose,BIDHAN NAGAR,AITC,1,TwelfthPass,Rs 6055857,~ 60 Lacs+,Rs 713000,~ 7 Lacs+
55,Subhranshu Roy,BIJPUR,AITC,1,PostGraduate,Rs 2286103,~ 22 Lacs+,Rs 100500,~ 1 Lacs+
56,Dibakar Hansda,BINPUR (ST),CPM,0,TwelfthPass,Rs 209934,~ 2 Lacs+,Rs 4000,~ 4 Thou+
57,Shyama Prasad Mukherjee,BISHNUPUR,AITC,1,GraduateProfessional,Rs 4305066,~ 43 Lacs+,Rs 0,~
58,Dilip Mondal,BISHNUPUR (SC),AITC,2,TwelfthPass,Rs 8754000,~ 87 Lacs+,Rs 1708524,~ 17 Lacs+
59,Chandra Nath Sinha,BOLPUR,AITC,0,PostGraduate,Rs 7553842,~ 75 Lacs+,Rs 537000,~ 5 Lacs+
60,Ashok Kumar Deb,BUDGE BUDGE,AITC,1,GraduateProfessional,Rs 182284,~ 1 Lacs+,Rs 0,~
61,Protima Rajak,BURWAN (SC),INC,0,Graduate,Rs 263339,~ 2 Lacs+,Rs 1038,~ 1 Thou+
62,Shyamal Mondal,CANNING PASCHIM (SC),AITC,0,GraduateProfessional,Rs 1442019,~ 14 Lacs+,Rs 0,~
63,Abdur Razzak Molla,CANNING PURBA,CPM,0,Graduate,Rs 6027373,~ 60 Lacs+,Rs 0,~
64,Naresh Chandra Chaki,CHAKDAH,AITC,1,PostGraduate,Rs 2686512,~ 26 Lacs+,Rs 0,~
65,Ali Imran Ramz,CHAKULIA,AIFB,3,GraduateProfessional,Rs 3503620,~ 35 Lacs+,Rs 264000,~ 2 Lacs+
66,Muzaffar Khan,CHAMPDANI,AITC,0,PostGraduate,Rs 14162828,~ 1 Crore+,Rs 1809300,~ 18 Lacs+
67,Asif Mehbub,CHANCHAL,INC,0,PostGraduate,Rs 4156153,~ 41 Lacs+,Rs 0,~
68,Ashok Kumar Shaw,CHANDANNAGORE,AITC,0,GraduateProfessional,Rs 1709882,~ 17 Lacs+,Rs 0,~
69,Amiya Kanti Bhattacharjee,CHANDIPUR,AITC,2,TwelfthPass,Rs 1199103,~ 11 Lacs+,Rs 0,~
70,Swati Khandkar,CHANDITALA,AITC,0,TwelfthPass,Rs 1948389,~ 19 Lacs+,Rs 0,~
71,Chhaya Dolai,CHANDRAKONA (SC),CPM,2,TenthPass,Rs 296855,~ 2 Lacs+,Rs 0,~
72,Rukbanur Rahman,CHAPRA,AITC,0,PostGraduate,Rs 116887,~ 1 Lacs+,Rs 0,~
