Sr,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Approx Assets,Liabilities,Approx Liabilities
150,Kamalakanta Hansda,KASHIPUR,BJP,0,Post Graduate,Rs 4502009,~ 45 Lacs+,Rs 1300000,~ 13 Lacs+
166,Ujjal Biswas,KRISHNANAGAR DAKSHIN,AITC,0,Graduate,Rs 73029661,~ 7 Crore+,Rs 19771633,~ 1 Crore+
168,Jogaranjan Halder,KULPI,AITC,0,Graduate Professional,Rs 12990857,~ 1 Crore+,Rs 115643,~ 1 Lacs+
169,Ganesh Chandra Mondal,KULTALI (SC),AITC,0,Graduate,Rs 63301383,~ 6 Crore+,Rs 12392528,~ 1 Crore+
172,Manoj Kumar Oraon,KUMARGRAM (ST),BJP,0,Graduate Professional,Rs 2696261,~ 26 Lacs+,Rs 0,~
175,Abhijit Sinha (Rana),LABPUR,AITC,0,Post Graduate,Rs 10819918,~ 1 Crore+,Rs 0,~
178,Rathin Ghosh,MADHYAMGRAM,AITC,0,12th Pass,Rs 5519581,~ 55 Lacs+,Rs 417060,~ 4 Lacs+
179,Gias Uddin Molla,MAGRAHAT PASCHIM,AITC,0,8th Pass,Rs 15716054,~ 1 Crore+,Rs 6363282,~ 63 Lacs+
180,Namita Saha,MAGRAHAT PURBA (SC),AITC,0,Graduate Professional,Rs 4286392,~ 42 Lacs+,Rs 0,~
181,Dulal Chandra Das,MAHESHTALA,AITC,0,8th Pass,Rs 137322155,~ 13 Crore+,Rs 21159750,~ 2 Crore+
183,Bulu Chik Baraik,MAL (ST),AITC,0,8th Pass,Rs 575763,~ 5 Lacs+,Rs 0,~
163,Santanu Pramanik,KHEJURI (SC),BJP,0,Post Graduate,Rs 1084792,~ 10 Lacs+,Rs 61311,~ 61 Thou+
185,Gopal Chandra Saha,MALDAHA (SC),BJP,0,Graduate,Rs 24145751,~ 2 Crore+,Rs 1453440,~ 14 Lacs+
188,Sabitri Mitra,MANIKCHAK,AITC,0,10th Pass,Rs 6471908,~ 64 Lacs+,Rs 0,~
189,Sadhan Pande,MANIKTALA,AITC,0,Graduate Professional,Rs 58668291,~ 5 Crore+,Rs 0,~
193,Abhijit Roy,MAYURESWAR,AITC,0,Graduate,Rs 9166818,~ 91 Lacs+,Rs 0,~
194,June Maliah,MEDINIPUR,AITC,0,12th Pass,Rs 34449609,~ 3 Crore+,Rs 0,~
