Company Name,Industry,Last Price
Pricol,Auto Ancillaries,96.54496676
Sharda Motor,Auto Ancillaries,612.9546984
Auto Stampings,Auto Ancillaries,412.82406902
Rajratan Global,Auto Ancillaries,582.53705158
Lumax Auto Tech,Auto Ancillaries,143.3976588
The Hi-Tech Gea,Auto Ancillaries,196.9548702
Shivam Auto,Auto Ancillaries,33.1235322
Autoline Ind,Auto Ancillaries,71.5657404
HMT,Auto Ancillaries,33.9589404
Precision Camsh,Auto Ancillaries,144.9178038
Setco Auto,Auto Ancillaries,18.6247677
UCAL Fuel,Auto Ancillaries,145.9707942
Eicher Motors,Auto Ancillaries,3537.1921893
Tata Motors,Auto Ancillaries,547.3575723
Rane Brake,Auto Ancillaries,857.0683737
Motherson SWI,Auto Ancillaries,92.929089
Automotive Axle,Auto Ancillaries,1795.618825
PPAP Automotive,Auto Ancillaries,221.772551
Elgi Rubber,Auto Ancillaries,33.5086752
Ganges Securiti,Finance - General,118.9716528
ILandFS,Finance - General,7.0294224
STEL Holdings,Finance - General,135.7788432
Religare Enterp,Finance - General,127.47422688
Reliance Home F,Finance - General,4.29453024
Lakshmi Finance,Finance - General,101.6023008
Jindal Poly Inv,Finance - General,242.79807552
Hb Stockhol,Finance - General,49.85844864
Kanani Ind,Finance - General,38.86026144
Dhani Services,Finance - General,48.9681192
Arman Financial,Finance - General,834.60529152
Nagreeka Cap,Finance - General,10.65776712
Transwarranty,Finance - General,8.83346464
Palash Securiti,Finance - General,97.07209512
Industrial Inv,Finance - General,113.73085724
Future Consumer,Finance - General,2.30438208
Times Guaranty,Finance - General,47.0478008
Dhunseri Invest,Finance - General,745.70000505
Indo Thai Secu,Finance - General,353.832303825
Pilani Invest,Finance - General,1985.4019185
Inventure Grow,Finance - General,3.494215725
Capital Trust,Finance - General,133.69671315
PNB Gilts,Finance - General,84.1104495
Prime Sec,Finance - General,130.432885275
Choice Internat,Finance - General,429.7904226
Alankit,Finance - General,14.850951885
Indian Bank,Finance - General,177.922493595
Muthoot Cap,Finance - General,287.715523095
Federal Bank,Finance - General,98.00472528
Canara Bank,Finance - General,190.233071424
Capri Global,Finance - General,606.779570232
Crest Ventures,Finance - General,164.710457208
Can Fin Homes,Finance - General,466.284117024
Ugro Capital,Finance - General,142.8685236
SREI Infra,Finance - General,4.746140784
ICICI Prudentia,Finance - General,455.2420752
NBI Industrial,Finance - General,1841.20128192
DELPHI WORLD,Finance - General,422.59340112
Indostar Capita,Finance - General,139.56158568
DB (Int) Stock,Finance - General,21.888406848
Orient Bell,Ceramics & Granite,399.151239696
Madhav Marbles,Ceramics & Granite,45.273615552
Ramky Infra,Ceramics & Granite,143.547432336
Visaka Ind,Ceramics & Granite,390.2601384
Bigbloc Constru,Ceramics & Granite,76.90962312
Patel Eng,Ceramics & Granite,17.90995536
Nitco,Ceramics & Granite,17.1360684
MBL Infra,Ceramics & Granite,15.88310856
ILandFS Engg,Ceramics & Granite,12.92477472
Andhra Cement,Ceramics & Granite,7.58362176
Barak Vally Cem,Ceramics & Granite,20.34530784
AGI Greenpac,Ceramics & Granite,203.0453568
CCCL,Ceramics & Granite,2.45509992
Setubandhan Inf,Ceramics & Granite,2.55530808
Supreme Infra,Ceramics & Granite,9.61998336
Hind Constr,Ceramics & Granite,14.37987096
Burnpur Cement,Ceramics & Granite,6.31311408
Ramcoind,Ceramics & Granite,198.11153232
PBA Infra,Ceramics & Granite,11.273418
Man Infra,Ceramics & Granite,93.14348472
Murudeshwar Cer,Ceramics & Granite,23.74933392
Gayatri Project,Ceramics & Granite,18.93934224
AJR Infra & Tol,Ceramics & Granite,1.80374688
Unitech,Ceramics & Granite,1.95405912
Madhucon Proj,Ceramics & Granite,5.11628832
Univastu India,Ceramics & Granite,60.23077632
PSP Projects,Ceramics & Granite,439.0296768
Rain Industries,Ceramics & Granite,161.4506256
Vesuvius India,Ceramics & Granite,1033.7087376
Dilip Buildcon,Ceramics & Granite,236.452392
